11:57:00	7.40
11:57:30	8.97
11:58:00	9.73
11:58:30	10.77
11:59:00	11.37
11:59:30	12.66
12:00:00	9.70
12:00:30	9.35
12:01:00	10.57
12:01:32	20.77
12:02:03	22.17
12:02:34	20.31
12:03:04	17.46
12:03:34	16.83
12:04:04	15.53
12:04:34	17.63
12:05:04	19.68
12:05:34	16.79
12:06:04	16.44
12:06:34	16.13
12:07:04	18.96
12:07:34	21.13
12:08:05	23.19
12:08:35	22.00
12:09:05	23.78
12:09:35	23.33
12:10:05	22.26
12:10:35	25.23
12:11:05	27.54
12:11:35	28.11
12:12:06	25.67
12:12:36	24.09
12:13:06	19.74
12:13:36	16.79
12:14:06	13.28
12:14:36	9.39
12:15:06	7.08
12:15:36	6.06
12:16:06	5.42
12:16:36	5.66
12:17:06	6.19
12:17:36	4.57
12:18:06	3.81
12:18:36	3.88
12:19:06	3.90
12:19:36	3.14
12:20:06	2.30
12:20:36	2.46
12:21:06	2.46
12:21:36	2.12
12:22:06	2.04
12:22:36	1.89
12:23:06	1.57
12:23:36	1.74
12:24:06	1.54
12:24:37	1.47
12:25:07	1.19
12:25:37	1.10
12:26:07	6.00
12:26:37	6.59
12:27:07	5.82
12:27:37	4.93
12:28:07	4.53
12:28:37	4.24
12:29:07	4.35
12:29:37	6.53
12:30:07	6.20
12:30:37	5.68
12:31:07	5.52
12:31:37	4.38
12:32:07	3.90
12:32:37	3.59
12:33:07	3.43
12:33:37	3.55
12:34:07	4.41
12:34:37	3.69
12:35:07	3.08
12:35:37	2.63
12:36:07	2.32
12:36:37	2.39
12:37:07	2.46
12:37:37	2.88
12:38:07	3.19
12:38:37	2.93
12:39:07	3.87
12:39:38	3.08
12:40:08	7.30
12:40:38	14.79
12:41:08	12.44
12:41:39	10.74
